지점,일시,1시간평균 미세먼지농도(㎍/㎥)
201,2019-01-31 19:00,78
201,2019-01-31 20:00,72
201,2019-01-31 21:00,56
201,2019-01-31 22:00,50
201,2019-01-31 23:00,36
201,2019-02-01 00:00,32
201,2019-02-01 01:00,45
201,2019-02-01 02:00,36
201,2019-02-01 03:00,27
201,2019-02-01 04:00,27
201,2019-02-01 05:00,25
201,2019-02-01 06:00,22
201,2019-02-01 07:00,22
201,2019-02-01 08:00,30
201,2019-02-01 09:00,26
201,2019-02-01 10:00,47
201,2019-02-01 11:00,43
201,2019-02-01 12:00,44
201,2019-02-01 13:00,42
201,2019-02-01 14:00,39
201,2019-02-01 15:00,27
201,2019-02-01 16:00,35
201,2019-02-01 17:00,27
201,2019-02-01 18:00,36
201,2019-02-01 19:00,38
201,2019-02-01 20:00,44
201,2019-02-01 21:00,43
201,2019-02-01 22:00,42
201,2019-02-01 23:00,45
201,2019-02-02 00:00,37
201,2019-02-02 01:00,38
201,2019-02-02 02:00,34
201,2019-02-02 03:00,32
201,2019-02-02 04:00,31
201,2019-02-02 05:00,36
201,2019-02-02 06:00,38
201,2019-02-02 07:00,56
201,2019-02-02 08:00,65
201,2019-02-02 09:00,66
201,2019-02-02 10:00,75
201,2019-02-02 11:00,73
201,2019-02-02 12:00,74
201,2019-02-02 13:00,72
201,2019-02-02 14:00,65
201,2019-02-02 15:00,65
201,2019-02-02 16:00,54
201,2019-02-02 17:00,65
201,2019-02-02 18:00,57
201,2019-02-02 19:00,76
201,2019-02-02 20:00,67
201,2019-02-02 21:00,60
201,2019-02-02 22:00,61
201,2019-02-02 23:00,71
201,2019-02-03 00:00,75
201,2019-02-03 01:00,72
201,2019-02-03 02:00,72
201,2019-02-03 03:00,74
201,2019-02-03 04:00,62
201,2019-02-03 05:00,52
201,2019-02-03 06:00,43
201,2019-02-03 07:00,28
201,2019-02-03 08:00,40
201,2019-02-03 09:00,40
201,2019-02-03 10:00,32
201,2019-02-03 11:00,21
201,2019-02-03 12:00,24
201,2019-02-03 13:00,20
201,2019-02-03 14:00,19
201,2019-02-03 15:00,20
201,2019-02-03 16:00,11
201,2019-02-03 17:00,16
201,2019-02-03 18:00,17
201,2019-02-03 19:00,22
201,2019-02-03 20:00,37
201,2019-02-03 21:00,25
201,2019-02-03 22:00,62
201,2019-02-03 23:00,110
201,2019-02-04 00:00,147
201,2019-02-04 01:00,163
201,2019-02-04 02:00,141
201,2019-02-04 03:00,99
201,2019-02-04 04:00,92
201,2019-02-04 05:00,88
201,2019-02-04 06:00,87
201,2019-02-04 07:00,87
201,2019-02-04 08:00,84
201,2019-02-04 09:00,86
201,2019-02-04 10:00,79
201,2019-02-04 11:00,52
201,2019-02-04 12:00,56
201,2019-02-04 13:00,44
201,2019-02-04 14:00,49
201,2019-02-04 15:00,46
201,2019-02-04 16:00,45
201,2019-02-04 17:00,50
201,2019-02-04 18:00,42
201,2019-02-04 19:00,40
201,2019-02-04 20:00,37
201,2019-02-04 21:00,37
201,2019-02-04 22:00,36
201,2019-02-04 23:00,34
201,2019-02-05 00:00,34
201,2019-02-05 01:00,28
201,2019-02-05 02:00,34
201,2019-02-05 03:00,33
201,2019-02-05 04:00,33
201,2019-02-05 05:00,37
201,2019-02-05 06:00,53
201,2019-02-05 07:00,55
201,2019-02-05 08:00,55
201,2019-02-05 09:00,53
201,2019-02-05 10:00,58
201,2019-02-05 11:00,76
201,2019-02-05 12:00,99
201,2019-02-05 13:00,114
201,2019-02-05 14:00,132
201,2019-02-05 15:00,139
201,2019-02-05 16:00,162
201,2019-02-05 17:00,165
201,2019-02-05 18:00,159
201,2019-02-05 19:00,159
201,2019-02-05 20:00,139
201,2019-02-05 21:00,143
201,2019-02-05 22:00,132
201,2019-02-05 23:00,133
201,2019-02-06 00:00,119
201,2019-02-06 01:00,110
201,2019-02-06 02:00,108
201,2019-02-06 03:00,95
201,2019-02-06 04:00,86
201,2019-02-06 05:00,95
201,2019-02-06 06:00,115
201,2019-02-06 07:00,122
201,2019-02-06 08:00,124
201,2019-02-06 09:00,121
201,2019-02-06 10:00,125
201,2019-02-06 11:00,142
201,2019-02-06 12:00,113
201,2019-02-06 13:00,92
201,2019-02-06 14:00,89
201,2019-02-06 15:00,88
201,2019-02-06 16:00,77
201,2019-02-06 17:00,79
201,2019-02-06 18:00,82
201,2019-02-06 19:00,79
201,2019-02-06 20:00,79
201,2019-02-06 21:00,85
201,2019-02-06 22:00,88
201,2019-02-06 23:00,97
201,2019-02-07 00:00,90
201,2019-02-07 01:00,108
201,2019-02-07 02:00,115
201,2019-02-07 03:00,120
201,2019-02-07 04:00,117
201,2019-02-07 05:00,98
201,2019-02-07 06:00,97
201,2019-02-07 07:00,79
201,2019-02-07 08:00,54
201,2019-02-07 09:00,24
201,2019-02-07 10:00,29
201,2019-02-07 11:00,31
201,2019-02-07 12:00,32
201,2019-02-07 13:00,42
201,2019-02-07 14:00,33
201,2019-02-07 15:00,31
201,2019-02-07 16:00,35
201,2019-02-07 17:00,30
201,2019-02-07 18:00,28
201,2019-02-07 19:00,32
201,2019-02-07 20:00,26
201,2019-02-07 21:00,27
201,2019-02-07 22:00,25
201,2019-02-07 23:00,31
201,2019-02-08 00:00,22
201,2019-02-08 01:00,32
201,2019-02-08 02:00,21
201,2019-02-08 03:00,22
201,2019-02-08 04:00,18
201,2019-02-08 05:00,23
201,2019-02-08 06:00,19
201,2019-02-08 07:00,22
201,2019-02-08 08:00,29
201,2019-02-08 09:00,33
201,2019-02-08 10:00,22
201,2019-02-08 11:00,26
201,2019-02-08 12:00,19
201,2019-02-08 13:00,30
